,Buttonville A,Hamilton A,Kingsville Moe,North Bay A,Orillia,Oshawa WPCP,Ottawa CDA,Sault St Marie A,Sudbury A,Tillonburg WWTP,Trent U,Wiarton A,Windsor A,Wroxeter
1987-04-06,5.2,16.0,2.4,0.0,0.0,0.8,0.20000000000000018,0.0,-4.440892098500626e-16,2.0,1.3,1.1000000000000003,5.8,4.440892098500626e-16
1987-04-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-11,0.0,0.0,5.5,0.0,0.5,1.0,0.0,0.0,-4.440892098500626e-16,16.0,0.0,0.0,3.2,4.440892098500626e-16
1987-04-12,8.8,12.100000000000001,0.8,0.0,0.0,7.4,0.0,0.0,-4.440892098500626e-16,6.0,0.8,2.6,2.6,9.4
1987-04-13,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-14,2.2,1.5,8.2,0.6000000000000001,1.0,2.6,0.0,1.6,2.0,2.5,3.6,0.0,5.8,3.0
1987-04-15,0.6000000000000001,0.5999999999999999,6.2,0.0,1.8,0.6000000000000001,0.0,6.0,0.3999999999999999,0.6000000000000001,0.0,1.2,6.799999999999999,4.440892098500626e-16
1987-04-16,0.3999999999999999,3.4,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.8,0.0,0.0,0.0,4.440892098500626e-16
1987-04-17,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-21,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.5999999999999999,4.4,2.8,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-22,0.0,0.2999999999999998,3.1,0.0,0.0,0.0,0.0,6.6,-4.440892098500626e-16,0.0,0.0,0.0,0.0,3.4
1987-04-23,1.4,3.1,1.0,7.4,0.3999999999999999,1.0,4.2,4.4,5.0,5.5,1.2,0.6000000000000001,1.6,4.440892098500626e-16
1987-04-24,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-04-27,5.6,4.2,3.8,15.0,8.5,9.4,11.0,8.999999999999998,16.8,5.1,14.1,14.4,3.8,4.2
1987-04-28,1.8,0.5999999999999999,0.0,5.0,1.3,0.6000000000000001,5.2,0.0,3.8,0.0,6.800000000000001,1.9,0.0,3.8
1987-04-29,1.0,0.0,0.0,8.2,6.0,0.20000000000000018,6.4,0.0,3.0,0.0,2.2,0.0,0.0,4.440892098500626e-16
1987-04-30,0.0,0.0,0.0,0.3999999999999999,0.0,0.0,0.20000000000000018,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-02,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-03,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,9.2,4.440892098500626e-16
